Date,Price,Open,High,Low,Vol.,Change %
25-May-11,802.88,787.63,802.88,778.13,-,1.92%
24-May-11,787.75,797.5,809.5,777.75,-,-1.25%
23-May-11,797.75,820.38,820.38,785.75,-,-2.73%
22-May-11,820.13,816.63,820.88,812.38,-,1.67%
20-May-11,806.63,808.75,818.75,791.13,-,-0.25%
19-May-11,808.63,819.25,834.38,805.13,-,-1.24%
18-May-11,818.75,771.5,826.75,767.63,-,6.14%
17-May-11,771.38,736,773.88,731.88,-,4.79%
16-May-11,736.13,738.75,747.25,730.63,-,-0.37%
15-May-11,738.88,730.5,742.13,730.5,-,1.34%
13-May-11,729.13,738.63,749,723.25,-,-1.27%
12-May-11,738.5,759.63,764.75,728.88,-,-2.76%
11-May-11,759.5,799.75,804.38,756.63,-,-5.05%
10-May-11,799.88,792.75,816.38,792.13,-,0.93%
09-May-11,792.5,774.5,797.5,769.25,-,2.46%
08-May-11,773.5,766.38,777.75,763.63,-,2.60%
06-May-11,753.88,752.88,777.5,740.25,-,0.07%
05-May-11,753.38,772.63,780.5,749,-,-2.44%
04-May-11,772.25,793,794.25,768.13,-,-2.60%
03-May-11,792.88,795.75,799.63,782.25,-,-0.35%
02-May-11,795.63,801.25,824.38,789.63,-,-0.67%
01-May-11,801,801.38,803.75,790.5,-,-0.39%
29-Apr-11,804.13,770.38,805.38,768.38,-,4.43%
28-Apr-11,770,818.13,820.25,767.63,-,-6.00%
27-Apr-11,819.13,850.63,852.88,800.38,-,-3.73%
26-Apr-11,850.88,862.13,862.75,834.25,-,-1.28%
25-Apr-11,861.88,849.13,864.75,845.88,-,1.47%
24-Apr-11,849.38,847.25,849.63,842.63,-,1.81%
22-Apr-11,834.25,834.25,834.25,834.25,-,0.04%
21-Apr-11,833.88,824,834.88,816,-,1.21%
20-Apr-11,823.88,824.88,843.38,816.38,-,-0.12%
19-Apr-11,824.88,815.38,829.63,810.5,-,1.20%
18-Apr-11,815.13,782.13,818,775.88,-,4.15%
17-Apr-11,782.63,779.5,782.63,776.25,-,5.12%
15-Apr-11,744.5,745.75,748.63,730.25,-,-0.13%
14-Apr-11,745.5,758.13,758.63,734.25,-,-1.81%
13-Apr-11,759.25,757.38,769.63,741.75,-,0.21%
12-Apr-11,757.63,800.13,800.25,750.63,-,-5.31%
11-Apr-11,800.13,807.25,808.88,786.5,-,-0.85%
10-Apr-11,807,803.38,808.88,803.38,-,0.95%
08-Apr-11,799.38,775,801.75,766.88,-,3.16%
07-Apr-11,774.88,778.38,792,757.13,-,-0.47%
06-Apr-11,778.5,784.88,792.38,776.13,-,-0.78%
05-Apr-11,784.63,789.38,798.13,778.63,-,-0.62%
04-Apr-11,789.5,766.88,792.88,766.38,-,3.00%
03-Apr-11,766.5,764.88,769.38,764.63,-,0.81%
01-Apr-11,760.38,759.75,773.63,745.13,-,0.16%
31-Mar-11,759.13,726.88,773.25,722.25,-,4.44%
30-Mar-11,726.88,738.75,741.63,723.25,-,-1.62%
29-Mar-11,738.88,722.38,741.63,721.88,-,2.18%
28-Mar-11,723.13,739.5,739.63,721.13,-,-2.23%
27-Mar-11,739.63,735.88,739.63,735.5,-,0.66%
25-Mar-11,734.75,743.13,752.38,726.63,-,-1.03%
24-Mar-11,742.38,713.5,743.63,710.13,-,4.05%
23-Mar-11,713.5,726.38,728.63,706.13,-,-1.62%
22-Mar-11,725.25,718.5,729.88,705.5,-,0.92%
21-Mar-11,718.63,737.63,738.25,717.38,-,-2.74%
20-Mar-11,738.88,724.13,741.38,719.88,-,1.93%
18-Mar-11,724.88,715.88,748.88,714.5,-,1.33%
17-Mar-11,715.38,671.38,718.63,667.38,-,6.51%
16-Mar-11,671.63,680.13,697.38,656.5,-,-1.34%
15-Mar-11,680.75,722,723.38,661.13,-,-5.73%
14-Mar-11,722.13,712.25,729.88,706.13,-,1.26%
13-Mar-11,713.13,719.5,719.63,710.63,-,-0.59%
11-Mar-11,717.38,737.63,740.25,704.13,-,-2.99%
10-Mar-11,739.5,762.88,765.63,734.25,-,-2.62%
09-Mar-11,759.38,782.13,788.88,749.88,-,-2.80%
08-Mar-11,781.25,801.63,803.13,778.38,-,-2.33%
07-Mar-11,799.88,831.38,833.5,798.38,-,-3.93%
04-Mar-11,832.63,821.25,836.88,813.75,-,1.12%
03-Mar-11,823.38,810.13,826.38,804.63,-,1.48%
02-Mar-11,811.38,809.88,829.88,796.38,-,0.06%
01-Mar-11,810.88,819.25,823.13,797.38,-,-0.67%
28-Feb-11,816.38,819.63,820.63,799.25,-,0.34%
25-Feb-11,813.63,783.88,828.63,783.88,-,4.16%
24-Feb-11,781.13,799.63,804.38,776.63,-,-2.01%
23-Feb-11,797.13,793.75,801.25,757.63,-,0.09%
22-Feb-11,796.38,858.88,869.13,795.38,-,-7.01%
18-Feb-11,856.38,883.75,885.5,850.75,-,-3.07%
17-Feb-11,883.5,870.25,885.25,870.25,-,5.51%
16-Feb-11,837.38,843.63,848.75,825.63,-,-0.34%
15-Feb-11,840.25,873,873.63,830.88,-,-3.68%
14-Feb-11,872.38,875.63,884.38,869.63,-,0.55%
11-Feb-11,867.63,865.88,871.13,855.63,-,0.73%
10-Feb-11,861.38,885.75,885.75,861.38,-,-3.03%
09-Feb-11,888.25,876.75,892.38,875.75,-,1.64%
08-Feb-11,873.88,859.88,880.63,844.25,-,1.75%
07-Feb-11,858.88,861.13,869.38,851.63,-,0.51%
04-Feb-11,854.5,859.38,864.63,842.63,-,-0.45%
03-Feb-11,858.38,862.63,872.5,847.13,-,-0.52%
02-Feb-11,862.88,836.13,864.38,835.5,-,3.29%
01-Feb-11,835.38,843.5,844.88,831.63,-,-0.39%
31-Jan-11,838.63,824.13,847.63,823.13,-,1.70%
28-Jan-11,824.63,847.38,849.13,824.63,-,-2.66%
27-Jan-11,847.13,858.38,863.38,845.63,-,-1.14%
26-Jan-11,856.88,840.63,861.13,839.5,-,2.15%
25-Jan-11,838.88,835.63,838.88,820.88,-,0.36%
24-Jan-11,835.88,829,839.13,823.63,-,1.36%
23-Jan-11,824.63,824.63,824.63,824.63,-,-0.02%
21-Jan-11,824.75,805.13,829.88,798.75,-,2.79%
20-Jan-11,802.38,797.88,805.5,782.75,-,0.47%
19-Jan-11,798.63,793,807.88,792.88,-,0.66%
18-Jan-11,793.38,775.88,793.88,773.63,-,2.59%
17-Jan-11,773.38,773.38,773.38,773.38,-,-0.06%
14-Jan-11,773.88,784.25,784.75,763.13,-,-0.96%
13-Jan-11,781.38,775.63,787.13,769.63,-,1.00%
12-Jan-11,773.63,761.63,789.88,760.38,-,1.98%
11-Jan-11,758.63,770.38,776.88,758.63,-,-1.04%
10-Jan-11,766.63,777.13,783,766.63,-,-0.71%
07-Jan-11,772.13,788.63,793.75,772.13,-,-2.03%
06-Jan-11,788.13,809,809.5,788,-,-2.69%
05-Jan-11,809.88,793.38,809.88,776.63,-,2.78%
04-Jan-11,788,803.25,808.75,783.38,-,-2.14%
